,index,Institution,State,Location,Type,Enrollment,Accreditation,Public/Private,Endowment,Athletics,Founded,Closed,Control
0,0,Air University,Alabama,Montgomery,Master's university,,SACS,,,,1946,,Public
1,1,Alabama A&M University,Alabama,Normal,Master's university,6172,SACS,,,,1875,,Public
2,2,Alabama College of Osteopathic Medicine,Alabama,Dothan,Medical school,660,AOA's COCA,,,,2010,,Private
3,3,Alabama State University,Alabama,Montgomery,Master's university,4190,SACS,,,,1867,,Public
4,4,Amridge University,Alabama,Montgomery,Special-focus institution,833,SACS,,,,1967,,Private
5,5,Athens State University,Alabama,Athens,Baccalaureate college,2941,SACS,,,,1822,,Public
6,6,Auburn University,Alabama,Auburn,Research university,30460,SACS,,,,1856,,Public
7,7,Auburn University at Montgomery,Alabama,Montgomery,Master's university,5188,SACS,,,,1967,,Public
8,8,Bevill State Community College,Alabama,Sumiton,Associate's college,3787,SACS,,,,1963,,Public
9,9,Birmingham School of Law,Alabama,Birmingham,Law school,400,Alabama Bar Association,,,,1915,,Private
10,10,Birmingham–Southern College,Alabama,Birmingham,Baccalaureate college,1209,SACS,,,,1856,,Private
11,11,Bishop State Community College,Alabama,Mobile,Associate's college,2846,SACS,,,,1927,,Public
12,12,Calhoun Community College,Alabama,Tanner,Associate's college,9315,SACS,,,,1965,,Public
13,13,Central Alabama Community College,Alabama,Alexander City,Associate's college,1799,SACS,,,,1989,,Public
14,14,Chattahoochee Valley Community College,Alabama,Phenix City,Associate's college,1592,SACS,,,,1974,,Public
15,15,Coastal Alabama Community College,Alabama,Bay Minette,Associate's college,7535,SACS,,,,1965,,Public
16,16,Columbia Southern University,Alabama,Orange Beach,Master's university,"20,034",DEAC,,,,1993,,Private
17,17,Community College of the Air Force,Alabama,Montgomery,Associate's college,,SACS,,,,1979,,Public
18,18,Enterprise State Community College,Alabama,Enterprise,Associate's college,1804,SACS,,,,1965,,Public
19,19,Faulkner University,Alabama,Montgomery,Baccalaureate college,3036,SACS,,,,1942,,Private
20,20,Gadsden State Community College,Alabama,Gadsden,Associate's college,4599,SACS,,,,1985,,Public
21,21,H. Councill Trenholm State Community College,Alabama,Montgomery,Associate's college,2042,SACS,,,,1966,,Public
22,22,Heritage Christian University,Alabama,Florence,Special-focus institution,86,ABHE,,,,1971,,Private
23,23,Highlands College,Alabama,Birmingham,Special-focus institution,,ABHE,,,,2011,,Private
24,24,Huntingdon College,Alabama,Montgomery,Baccalaureate college,1008,SACS,,,,1854,,Private
25,25,Huntsville Bible College,Alabama,Huntsville,Special-focus institution,145,ABHE,,,,1986,,Private
26,26,J.F. Drake State Community and Technical College,Alabama,Huntsville,Associate's college,1062,SACS,,,,1961,,Public
27,27,J. F. Ingram State Technical College,Alabama,Deatsville,Associate's college,485,COE,,,,1965,,Public
28,28,Jacksonville State University,Alabama,Jacksonville,Master's university,9021,SACS,,,,1883,,Public
29,29,Jefferson State Community College,Alabama,Birmingham,Associate's college,8711,SACS,,,,1965,,Public
30,30,Lawson State Community College,Alabama,Birmingham,Associate's college,3375,SACS,,,,1950,,Public
31,31,Lurleen B. Wallace Community College,Alabama,Andalusia,Associate's college,1767,SACS,,,,1969,,Public
32,32,Marion Military Institute,Alabama,Marion,Associate's college,409,SACS,,,,1842,,Public
33,33,Miles College,Alabama,Fairfield,Baccalaureate college,1456,SACS,,,,1905,,Private
34,34,Miles Law School,Alabama,Fairfield,Law school,,Alabama Bar Association,,,,1974,,Private
35,35,Northeast Alabama Community College,Alabama,Rainsville,Associate's college,2981,SACS,,,,1963,,Public
36,36,Northwest–Shoals Community College,Alabama,Muscle Shoals,Associate's college,3512,SACS,,,,1993,,Public
37,37,Oakwood University,Alabama,Huntsville,Baccalaureate college,1526,SACS,,,,1896,,Private
38,38,Reid State Technical College,Alabama,Evergreen,Associate's college,549,COE,,,,1966,,Public
39,39,Samford University,Alabama,Birmingham,Master's university,5692,SACS,,,,1841,,Private
40,40,Selma University,Alabama,Selma,Special-focus institution,323,ABHE,,,,1878,,Private
41,41,Shelton State Community College,Alabama,Tuscaloosa,Associate's college,4201,SACS,,,,1979,,Public
42,42,Snead State Community College,Alabama,Boaz,Associate's college,2237,SACS,,,,1898,,Public
43,43,Southern Union State Community College,Alabama,Wadley,Associate's college,4655,SACS,,,,1994,,Public
44,44,Spring Hill College,Alabama,Mobile,Master's university,1290,SACS,,,,1830,,Private
45,45,Stillman College,Alabama,Tuscaloosa,Baccalaureate college,861,SACS,,,,1876,,Private
46,46,Talladega College,Alabama,Talladega,Baccalaureate college,1239,SACS,,,,1867,,Private
47,47,Troy University,Alabama,Troy,Master's university,16436,SACS,,,,1887,,Public
48,48,Tuskegee University,Alabama,Tuskegee,Baccalaureate college,2876,SACS,,,,1881,,Private
49,49,United States Sports Academy,Alabama,Daphne,Special-focus institution,499,SACS,,,,1972,,Private
50,50,University of Alabama,Alabama,Tuscaloosa,Research university,38100,SACS,,,,1831,,Public
51,51,University of Alabama at Birmingham,Alabama,Birmingham,Research university,22080,SACS,,,,1966,,Public
52,52,University of Alabama in Huntsville,Alabama,Huntsville,Research university,9988,SACS,,,,1969,,Public
53,53,University of Mobile,Alabama,Prichard,Master's university,1989,SACS,,,,1961,,Private
54,54,University of Montevallo,Alabama,Montevallo,Master's university,2553,SACS,,,,1896,,Public
55,55,University of North Alabama,Alabama,Florence,Master's university,7702,SACS,,,,1830,,Public
56,56,University of South Alabama,Alabama,Mobile,Research university,14397,SACS,,,,1963,,Public
57,57,University of West Alabama,Alabama,Livingston,Master's university,5653,SACS,,,,1835,,Public
58,58,Wallace Community College,Alabama,Dothan,Associate's college,4478,SACS,,,,1949,,Public
59,59,Wallace Community College Selma,Alabama,Selma,Associate's college,1529,SACS,,,,1963,,Public
60,60,Wallace State Community College,Alabama,Hanceville,Associate's college,4985,SACS,,,,1966,,Public
61,61,Columbia College Missouri,Alabama,Redstone Arsenal,,,HLC,,,,,,Private
62,62,Edward Via College of Osteopathic Medicine,Alabama,Auburn,,,AOA's COCA,,,,,,Private
63,63,Embry-Riddle Aeronautical University,Alabama,"Huntsville, Fort Rucker, Mobile",,,SACS,,,,,,Private
64,64,Florida Institute of Technology,Alabama,Huntsville,,,SACS,,,,,,Private
65,65,Southeastern University,Alabama,"Birmingham, Cullman, Florence, Huntsville",,,SACS,,,,,,Private
66,66,United States Army Command and General Staff College,Alabama,Redstone Arsenal,,,HLC,,,,,,Public
67,67,Concordia College Alabama,Alabama,Selma,Baccalaureate college,,,,,,1922,2018,Private
68,68,Daniel Payne College,Alabama,Birmingham,Baccalaureate college,,,,,,1889,1979,Private
69,69,Judson College,Alabama,Marion,Baccalaureate college,,,,,,1838,2021,Private
70,70,Southeastern Bible College,Alabama,Birmingham,Special-focus institution,,,,,,1934,2017,Private
71,71,Southern Benedictine College,Alabama,Cullman,Baccalaureate college,,,,,,1929,1979,Private
72,72,Virginia College,Alabama,Birmingham,Baccalaureate/Associate's college,,,,,,1983,2018,Private
73,73,University of Alaska Anchorage,Alaska,Anchorage,Doctoral university,14004.0,,,,,1954,,Public
74,74,University of Alaska Fairbanks,Alaska,Fairbanks,Doctoral university,9330.0,,,,,1917,,Public
75,75,University of Alaska Southeast,Alaska,Juneau,Master's university,3458.0,,,,,1972,,Public
76,76,Alaska Bible College,Alaska,Glennallen,Baccalaureate / Associates Colleges,81.0,,,,,1966,,Private
77,77,Alaska Pacific University,Alaska,Anchorage,Masters University,502.0,,,,,1957,,Private
78,78,Saint Herman Theological Seminary,Alaska,Kodiak,Faith-related Institution,,,,,,1972,,Private
79,79,Wayland Baptist University,Alaska,Anchorage,Masters University,4503.0,,,,,1908,,Private
80,80,Arizona State University,Arizona,Tempe,Doctoral University,74795,,,,,1885,,Public
81,81,Northern Arizona University,Arizona,Flagstaff,Doctoral University,29566,,,,,1899,,Public
82,82,University of Arizona,Arizona,Tucson,Doctoral University,45601,,,,,1885,,Public
83,83,Arizona Christian University,Arizona,Glendale,Baccalaureate College,925,,,,,1960,,Private
84,84,Benedictine University at Mesa,Arizona,Mesa,Master's University,,,,,,1887,,Private
85,85,Embry-Riddle Aeronautical University,Arizona,Prescott,Baccalaureate College,3004,,,,,1978,,Private
86,86,Prescott College,Arizona,Prescott,Master's University,970,,,,,1966,,Private
87,87,Ottawa University,Arizona,Surprise,Master's University,1882,,,,,1865,,Private
88,88,Park University,Arizona,Glendale,Master's University,?,,,,,1875,,Private
89,89,A.T. Still University,Arizona,Phoenix,Special Focus: Medical,?,,,,,1892,,Private
90,90,Cummings Graduate Institute for Behavioral Health Studies,Arizona,Phoenix,Not classified,,,,,,2015,,Private
91,91,Fuller Theological Seminary,Arizona,Phoenix,Special Focus: Faith-based,?,,,,,1947,,Private
92,92,Midwestern University,Arizona,Glendale,Special Focus: Medical,3927,,,,,1900,,Private
93,93,Phoenix Seminary,Arizona,Phoenix,Special Focus: Faith-based,260,,,,,1988,,Private
94,94,Southwest College of Naturopathic Medicine,Arizona,Tempe,Special Focus: Medical,509,,,,,1993,,Private
95,95,The School of Architecture,Arizona,Paradise Valley,Special Focus: Other,10,,,,,1932,,Private
96,96,Arizona College of Nursing,Arizona,Phoenix,Special Focus: Health Professions,1810,,,,,1885,,Private
97,97,Brookline College,Arizona,Phoenix,Special Focus: Health Professions,2456,,,,,1972,,Private
98,98,Bryan University,Arizona,Tempe,Baccalaureate College,1350,,,,,1940,,Private
99,99,Carrington College,Arizona,Phoenix,Special Focus: Health Professions,1922,,,,,1967,,Private
100,100,Chamberlain College of Nursing,Arizona,Phoenix,Special Focus: Health Professions,725,,,,,1889,,Private
101,101,DeVry University,Arizona,Phoenix,Baccalaureate College,217,,,,,1931,,Private
102,102,Grand Canyon University,Arizona,Phoenix,Doctoral University,103427,,,,,1949,,Private
103,103,Sessions College for Professional Design,Arizona,Tempe,Special Focus: Art & Design,197,,,,,1997,,Private
104,104,Universal Technical Institute,Arizona,Avondale,Special Focus: Technical,1845,,,,,1965,,Private
105,105,University of Advancing Technology,Arizona,Tempe,Baccalaureate College,836,,,,,1983,,Private
106,106,University of Phoenix,Arizona,Phoenix,Doctoral University,89763,,,,,1976,,Private
107,107,International Baptist College and Seminary,Arizona,Chandler,Special Focus: Faith-based,78,,,,,1981,,Private
108,108,Anthem Education Group,Arizona,Glendale,Doctoral University,,,,,,1970,,Private
109,109,Arizona Summit Law School,Arizona,Phoenix,Doctoral University,,,,,,2005,2018.0,Private
110,110,The Art Institute of Phoenix,Arizona,Phoenix,Masters University,,,,,,1969,,Private
111,111,The Art Institute of Tucson,Arizona,Tucson,Baccalaureate / Associates Colleges,,,,,,1996,,Private
112,112,Brown Mackie College,Arizona,Phoenix,Baccalaureate / Associates Colleges,,,,,,1892,2017.0,Private
113,113,Le Cordon Bleu College of Culinary Arts Scottsdale,Arizona,Scottsdale,Special-focus Institution,,,,,,1986,2017.0,Private
114,114,CollegeAmerica,Arizona,Phoenix,Baccalaureate / Associates Colleges,,,,,,1964,,Private
115,115,Collins College,Arizona,Phoenix,Associate's College,,,,,,1978,2012.0,Private
116,116,Southwest University of Visual Arts,Arizona,Tucson,Baccalaureate / Associates Colleges,,,,,,1983,2020.0,Private
117,117,Arkansas Baptist College,Arkansas,Little Rock,Baccalaureate college,468,HLC,,,,1884,,Private
118,118,Arkansas Northeastern College,Arkansas,Blytheville,Associate's college,1358,HLC,,,,1975,,Public
119,119,Arkansas State University,Arkansas,Jonesboro,Research university,13106,HLC,,,,1909,,Public
120,120,Arkansas State University-Beebe,Arkansas,Beebe,Associate's college,2982,HLC,,,,1927,,Public
121,121,Arkansas State University Mid-South,Arkansas,West Memphis,Associate's college,1203,HLC,,,,1992,,Public
122,122,Arkansas State University–Mountain Home,Arkansas,Mountain Home,Associate's college,1271,HLC,,,,1995,,Public
123,123,Arkansas State University-Newport,Arkansas,Newport,Associate's college,1941,HLC,,,,1976,,Public
124,124,Arkansas State University Three Rivers,Arkansas,Malvern,Associate's college,1243,HLC,,,,1969,,Public
125,125,Arkansas Tech University,Arkansas,Russellville,Master's university,10829,HLC,,,,1909,,Public
126,126,Black River Technical College,Arkansas,Pocahontas,Associate's college,1350,HLC,,,,1978,,Public
127,127,Blue Cliff College,Arkansas,Fayetteville,Technical school,183,"SAA, WIA, AMTA-COS, NCBTMB",,,,1987,,Private
128,128,Central Baptist College,Arkansas,Conway,Baccalaureate college,604,HLC,,,,1892,,Private
129,129,Cossatot Community College,Arkansas,De Queen,Associate's college,1386,HLC,,,,1975,,Public
130,130,Crowley's Ridge College,Arkansas,Paragould,Baccalaureate college,192,HLC,,,,1964,,Private
131,131,East Arkansas Community College,Arkansas,Forrest City,Associate's college,934,HLC,,,,1974,,Public
132,132,Ecclesia College,Arkansas,Springdale,Special-focus institution,193,ABHE,,,,1975,,Private
133,133,Harding University,Arkansas,Searcy,Master's university,4617,HLC,,,,1924,,Private
134,134,Henderson State University,Arkansas,Arkadelphia,Master's university,3163,HLC,,,,1890,,Public
135,135,Hendrix College,Arkansas,Conway,Baccalaureate college,1077,HLC,,,,1876,,Private
136,136,John Brown University,Arkansas,Siloam Springs,Baccalaureate college,2343,HLC,,,,1919,,Private
137,137,Lyon College,Arkansas,Batesville,Baccalaureate college,665,HLC,,,,1872,,Private
138,138,National Park College,Arkansas,Hot Springs,Associate's college,1912,HLC,,,,2003,,Public
139,139,North Arkansas College,Arkansas,Harrison,Associate's college,1604,HLC,,,,1974,,Public
140,140,Northwest Arkansas Community College,Arkansas,Bentonville,Associate's college,7411,HLC,,,,1989,,Public
141,141,Ouachita Baptist University,Arkansas,Arkadelphia,Baccalaureate college,1704,HLC,,,,1886,,Private
142,142,Ozarka College,Arkansas,Melbourne,Associate's college,1033,HLC,,,,1975,,Public
143,143,Philander Smith College,Arkansas,Little Rock,Baccalaureate college,799,HLC,,,,1877,,Private
144,144,Phillips Community College of the University of Arkansas,Arkansas,Helena-West Helena,Associate's college,1093,HLC,,,,1965,,Public
145,145,Shorter College,Arkansas,North Little Rock,Associate's college,223,TRACS,,,,1886,,Private
146,146,South Arkansas Community College,Arkansas,El Dorado,Associate's college,1253,HLC,,,,1992,,Public
147,147,Southeast Arkansas College,Arkansas,Pine Bluff,Associate's college,1113,HLC,,,,1991,,Public
148,148,Southern Arkansas University,Arkansas,Magnolia,Master's university,4432,HLC,,,,1909,,Public
149,149,Southern Arkansas University Tech,Arkansas,Camden,Associate's college,769,HLC,,,,1967,,Public
150,150,University of Arkansas,Arkansas,Fayetteville,Research university,27562,HLC,,,,1871,,Public
151,151,University of Arkansas Community College at Batesville,Arkansas,Batesville,Associate's college,1224,HLC,,,,1991,,Public
152,152,University of Arkansas Community College at Hope,Arkansas,Hope,Associate's college,1211,HLC,,,,1965,,Public
153,153,University of Arkansas Community College at Morrilton,Arkansas,Morrilton,Associate's college,1836,HLC,,,,1961,,Public
154,154,University of Arkansas System eVersity,Arkansas,Online Campus,Baccalaureate college,794,Accredited by the DEAC,,,,2014,,Public
155,155,University of Arkansas at Little Rock,Arkansas,Little Rock,Research university,8899,HLC,,,,1927,,Public
156,156,University of Arkansas at Monticello,Arkansas,Monticello,Master's university,2654,HLC,,,,1909,,Public
157,157,University of Arkansas at Pine Bluff,Arkansas,Pine Bluff,Baccalaureate college,2668,HLC,,,,1873,,Public
158,158,University of Arkansas Rich Mountain,Arkansas,Mena,Associate's college,798,HLC,,,,1973,,Public
159,159,University of Arkansas for Medical Sciences,Arkansas,Little Rock,Medical school,2907,HLC,,,,1879,,Public
160,160,University of Arkansas–Fort Smith,Arkansas,Fort Smith,Baccalaureate college,5887,HLC,,,,1928,,Public
161,161,University of Arkansas – Pulaski Technical College,Arkansas,North Little Rock,Associate's college,4810,HLC,,,,1945,,Public
162,162,University of Central Arkansas,Arkansas,Conway,Master's university,10335,HLC,,,,1907,,Public
163,163,University of the Ozarks,Arkansas,Clarksville,Baccalaureate college,836,HLC,,,,1834,,Private
164,164,Williams Baptist University,Arkansas,Walnut Ridge,Baccalaureate college,618,HLC,,,,1941,,Private
165,165,"University of California, Berkeley",California,Berkeley,,45057,,,,NCAA Div. I,1869,,
166,166,"University of California, Davis",California,Davis,,40031,,,,NCAA Div. I,1905,,
167,167,"University of California, Irvine",California,Irvine,,36505,,,,NCAA Div. I,1965,,
168,168,"University of California, Los Angeles",California,Los Angeles,,47518,,,,NCAA Div. I,1882*,,
169,169,"University of California, Merced",California,Merced,,9093,,,,NAIA,2005,,
170,170,"University of California, Riverside",California,Riverside,,26434,,,,NCAA Div. I,1954,,
171,171,"University of California, San Diego",California,San Diego,,42875,,,,NCAA Div. I,1960,,
172,172,"University of California, Santa Barbara",California,Santa Barbara,,26179,,,,NCAA Div. I,1891**,,
173,173,"University of California, Santa Cruz",California,Santa Cruz,,19161,,,,NCAA Div. I,1965,,
174,174,"California Polytechnic State University, San Luis Obispo",California,San Luis Obispo,,21812,,,,,1901*,,
175,175,"California State Polytechnic University, Humboldt",California,Arcata,,7774,,,,,1913,,
176,176,"California State Polytechnic University, Pomona",California,Pomona,,26443,,,,,1938**,,
177,177,"California State University, Bakersfield",California,Bakersfield,,10493,,,,,1965,,
178,178,California State University Channel Islands,California,Camarillo,,7095,,,,,2002,,
179,179,"California State University, Chico",California,Chico,,17488,,,,,1887,,
180,180,"California State University, Dominguez Hills",California,Carson,,15741,,,,,1960,,
181,181,"California State University, East Bay",California,Hayward,,14525,,,,,1957,,
182,182,"California State University, Fresno",California,Fresno,,24995,,,,,1911,,
183,183,"California State University, Fullerton",California,Fullerton,,39774,,,,,1957,,
184,184,"California State University, Long Beach",California,Long Beach,,36846,,,,,1949,,
185,185,"California State University, Los Angeles",California,Los Angeles,,27685,,,,,1947,,
186,186,California State University Maritime Academy,California,Vallejo,,1017,,,,,1929,,
187,187,"California State University, Monterey Bay",California,Seaside-Marina,,7079,,,,,1994,,
188,188,"California State University, Northridge",California,Northridge,,38716,,,,,1958,,
189,189,"California State University, Sacramento",California,Sacramento,,31131,,,,,1947,,
190,190,"California State University, San Bernardino",California,San Bernardino,,19973,,,,,1965,,
191,191,California State University San Marcos,California,San Marcos,,14511,,,,,1988,,
192,192,"California State University, Stanislaus",California,Turlock,,10214,,,,,1957,,
193,193,San Diego State University,California,San Diego,,34881,,,,,1897,,
194,194,San Francisco State University,California,San Francisco,,29586,,,,,1899,,
195,195,San Jose State University,California,San Jose,,32828,,,,,1857,,
196,196,Sonoma State University,California,Rohnert Park,,9201,,,,,1960,,
197,197,"California State University, Moss Landing Marine Laboratories",California,Moss Landing,,,,,,,1966,,
198,198,"University of California, Hastings College of the Law",California,San Francisco,,,,,,,1878,,
199,199,"University of California, San Francisco",California,San Francisco,,,,,,,1899,,
200,200,Academy of Art University,California,San Francisco,"Special Focus Four-Year: Arts, Music & Design Schools",,,,,NCAA Div. II,1929,,
201,201,Alliant International University,California,San Diego,Doctoral Universities: Moderate Research Activity,,,,,---,1952,,
202,202,American Heritage University of Southern California,California,Ontario,Not classified,,,,,---,2003,,
203,203,American Jewish University,California,Los Angeles,Baccalaureate Colleges: Arts & Sciences Focus,,,,,---,1947,,
204,204,American Management University,California,California,Not classified,,,,,non-profit sponsored,2018,,
205,205,Anaheim University,California,Anaheim,Not classified,,,,,---,1996,,
206,206,Antioch University,California,multiple locations,Master's Colleges & Universities: Larger Programs,,,,,---,1972,,
207,207,ArtCenter College of Design,California,Pasadena,"Special Focus Four-Year: Arts, Music & Design Schools",,,,,---,1930,,
208,208,Azusa Pacific University,California,Azusa,Doctoral Universities: Moderate Research Activity,,,,,NCAA Div. II,1899,,
209,209,Berean Bible College,California,Poway,Not classified,,,,,---,1971,,
210,210,Biola University,California,La Mirada,Doctoral Universities: Moderate Research Activity,,,,,NCAA Div. II,1908,,
211,211,California Coast University,California,Santa Ana,,,,,,,1973,,
212,212,California Baptist University,California,Riverside,Master's Colleges & Universities: Larger Programs,,,,,NCAA Div. I,1950,,
213,213,California Coast University,California,Anaheim,Not classified,,,,,,1996,,
214,214,California College of the Arts,California,"Oakland,San Francisco","Special Focus Four-Year: Arts, Music & Design Schools",,,,,---,1907,,
215,215,California College San Diego,California,San Diego,Special Focus Four-Year: Other Health Professions Schools,,,,,---,1978,,
216,216,California Health Sciences University,California,Clovis,Doctoral Universities: Health Professions Schools,,,,,---,2012,,
217,217,California Institute of Integral Studies,California,San Francisco,Doctoral Universities: Moderate Research Activity,,,,,---,1968,,
218,218,California Institute of Technology,California,Pasadena,Doctoral Universities: Highest Research Activity,,,,,NCAA Div. III,1891,,
219,219,California Institute of the Arts,California,Valencia,"Special Focus Four-Year: Arts, Music & Design Schools",,,,,---,1961,,
220,220,California Lutheran University,California,Thousand Oaks,Master's Colleges & Universities: Larger Programs,,,,,NCAA Div. III,1959,,
221,221,California Miramar University,California,San Diego,Special Focus Four-Year: Business & Management Schools,,,,,---,2005,,
222,222,California Metropolitan University,California,Montclair,Exempt verified private university,,,,,,2020,,
223,223,California South Bay University,California,Sunnyvale,Not classified,,,,,---,2007,,
224,224,California Southern University,California,Costa Mesa,Not classified,,,,,---,1978,,
225,225,California University of Management and Sciences,California,Anaheim,Master's Colleges & Universities: Medium Programs,,,,,---,1998,,
226,226,California University of Management and Technology,California,San Jose,Not classified,,,,,---,---,,
227,227,Cambridge College,California,Rancho Cucamonga,Master's Colleges & Universities: Smaller Programs,,,,,---,1971,,
228,228,Chapman University,California,Orange,Doctoral Universities: High Research Activity,,,,,NCAA Div. III,1861,,
229,229,Charles R. Drew University of Medicine and Science,California,Willowbrook,Special Focus Four-Year: Other Health Professions Schools,,,,,---,1966,,
230,230,Claremont Graduate University,California,Claremont,Doctoral Universities: Higher Research Activity,,,,,---,1925,,
231,231,Claremont Lincoln University,California,Claremont,Master's Colleges & Universities: Small Programs,,,,,---,2011,,
232,232,Claremont McKenna College,California,Claremont,Baccalaureate Colleges: Arts & Sciences Focus,,,,,NCAA Div. III,1946,,
233,233,Concordia University Irvine,California,Irvine,Master's Colleges & Universities: Larger Programs,,,,,NCAA Div. II,1976,,
234,234,The Culinary Institute of America at Greystone,California,St. Helena,Special Focus Four-Year: Other Special Focus Institutions,,,,,---,1995,,
235,235,Deep Springs College,California,Deep Springs,Not classified,,,,,---,1917,,
236,236,Design Institute of San Diego,California,San Diego,"Special Focus Four-Year: Arts, Music & Design Schools",,,,,---,1977,,
237,237,DeVry University,California,various,Master's Colleges & Universities: Larger Programs,,,,,---,1931,,
238,238,Dharma Realm Buddhist University,California,Ukiah,NC,,,,,,1976,,
239,239,Dominican University of California,California,San Rafael,Master's Colleges & Universities: Medium Programs,,,,,NCAA Div. II,1890,,
240,240,Emperor's College of Traditional Oriental Medicine,California,Santa Monica,Special Focus Four-Year: Other Health Professions Schools,,,,,---,1983,,
241,241,Epic Bible College,California,Sacramento,Special Focus Four-Year: Faith-Related Institutions,,,,,---,1974,,
242,242,Fashion Institute of Design & Merchandising,California,Los Angeles,"Special Focus Four-Year: Arts, Music & Design Schools",,,,,---,1969,,
243,243,Fielding Graduate University,California,,Doctoral Universities,,,,,---,1974,,
244,244,Frederick S. Pardee RAND Graduate School,California,Santa Monica,Special Focus Four-Year: Other Special Focus Institutions,,,,,---,1970,,
245,245,Fresno Pacific University,California,Fresno,Master's Colleges & Universities: Larger Programs,,,,,NCAA Div. II,1944,,
246,246,Fuller Theological Seminary,California,Pasadena,Special Focus Four-Year: Faith-Related Institutions,,,,,---,1947,,
247,247,Gateway Seminary,California,Ontario,---,,,,,---,1944,,
248,248,Golden Gate University,California,San Francisco,Master's Colleges & Universities: Larger Programs,,,,,---,1901,,
249,249,Graduate Theological Union,California,Berkeley,Special Focus Four-Year: Faith-Related Institutions,,,,,---,1962,,
250,250,Gurnick Academy,California,"San Mateo, California",Four or more years,,,,,---,2004,,
251,251,Harvey Mudd College,California,Claremont,Baccalaureate Colleges: Arts & Sciences Focus,,,,,NCAA Div. III,1955,,
252,252,Holy Names University,California,Oakland,Master's Colleges & Universities: Larger Programs,,,,,NCAA Div. II,1868,,
253,253,Hope International University,California,Fullerton,Master's Colleges & Universities: Medium Programs,,,,,NAIA,1928,,
254,254,Hult International Business School,California,San Francisco,Special Focus Four-Year: Business & Management Schools,,,,,---,1964,,
255,255,Humphreys University,California,Stockton,Baccalaureate Colleges: Diverse Fields,,,,,---,1896,,
256,256,Imago Dei College,California,Oak Glen,Not classified,,,,,---,2010,,
257,257,International Technological University,California,San Jose,Master's Colleges & Universities: Larger Programs,,,,,---,1994,,
258,258,Institute of Buddhist Studies,California,Berkeley,Special Focus Four-Year: Faith-Related Institutions,,,,,---,1966,,
259,259,Jessup University,California,Rocklin,Baccalaureate Colleges: Diverse Fields,,,,,NAIA,1939,,
260,260,John Paul the Great Catholic University,California,Escondido,Baccalaureate Colleges: Diverse Fields,,,,,---,2003,,
261,261,Keck Graduate Institute,California,Claremont,Master's Colleges & Universities: Small Programs,,,,,---,1997,,
262,262,La Sierra University,California,Riverside,Master's Colleges & Universities: Small Programs,,,,,NAIA,1992,,
263,263,Laguna College of Art and Design,California,Laguna Beach,"Special Focus Four-Year: Arts, Music & Design Schools",,,,,---,1961,,
264,264,Life Pacific University,California,San Dimas,Special Focus Four-Year: Faith-Related Institutions,,,,,NAIA,1923,,
265,265,Lincoln University,California,Oakland,Special Focus Four-Year: Business & Management Schools,,,,,---,1926,,
266,266,Loma Linda University,California,Loma Linda,Special Focus Four-Year: Medical Schools & Centers,,,,,---,1905,,
267,267,Los Angeles College of Music,California,Pasadena,"Special Focus Four-Year: Arts, Music & Design Schools",,,,,---,1996,,
268,268,Loyola Marymount University,California,Los Angeles,Master's Colleges & Universities: Larger Programs,,,,,NCAA Div. I,1911,,
269,269,Make School,California,San Francisco,Special Focus Four-Year: Applied Computer Science,,,,,---,2012,,
270,270,The Master's University,California,Santa Clarita,Master's Colleges & Universities: Small Programs,,,,,NAIA,1927,,
271,271,Menlo College,California,Atherton,Special Focus Four-Year: Business & Management Schools,,,,,NAIA,1927,,
272,272,Middlebury Institute of International Studies at Monterey,California,Monterey,Baccalaureate Colleges: Arts & Sciences Focus,,,,,---,1955,,
273,273,Minerva University,California,San Francisco,"Special Focus Four-Year: Science, Management and Arts courses",,,,,---,2011,,
274,274,Mount St. Mary's University,California,Los Angeles,Master's Colleges & Universities: Medium Programs,,,,,---,1925,,
275,275,National University,California,La Jolla,Master's Colleges & Universities: Larger Programs,,,,,---,1971,,
276,276,New York Film Academy,California,Los Angeles,"Special Focus Four-Year: Arts, Music & Design Schools",,,,,---,1992,,
277,277,NewSchool of Architecture and Design,California,San Diego,"Special Focus Four-Year: Arts, Music & Design Schools",,,,,---,1980,,
278,278,Northwestern Polytechnic University,California,Fremont,Not classified,,,,,---,1984,,
279,279,Notre Dame de Namur University,California,Belmont,Master's Colleges & Universities: Larger Programs,,,,,---,1851,,
280,280,Oak Valley College,California,San Dimas,Not classified,,,,,---,2016,,
281,281,Occidental College,California,Los Angeles,Baccalaureate Colleges: Arts & Sciences Focus,,,,,NCAA Div. III,1887,,
282,282,Oikos University,California,Oakland,Not classified,,,,,---,2004,,
283,283,Otis College of Art and Design,California,Westchester,"Special Focus Four-Year: Arts, Music & Design Schools",,,,,---,1918,,
284,284,Pacific Lutheran Theological Seminary,California,Berkeley,Special Focus Four-Year: Faith-Related Institutions,,,,,---,1950,,
285,285,Pacific Oaks College,California,Pasadena,Special Focus Four-Year: Other Special Focus Institutions,,,,,---,1958,,
286,286,Pacific School of Religion,California,Berkeley,Special Focus Four-Year: Faith-Related Institutions,,,,,---,1866,,
287,287,Pacific Union College,California,Angwin,Baccalaureate Colleges: Arts & Sciences Focus,,,,,NAIA,1882,,
288,288,Pacifica Graduate Institute,California,Santa Barbara,Special Focus Four-Year: Other Health Professions Schools,,,,,---,1976,,
